antecedent,consequent,confidence,lift,support
"bottled beer, rolls/buns, whole milk",other vegetables,0.5033557046979866,1.3365671232375693,0.019240636223704463
"bottled beer, rolls/buns, whole milk",soda,0.3288590604026846,1.0490119619064358,0.012570548999486916
"bottled beer, rolls/buns, whole milk",yogurt,0.3624161073825503,1.2807778663437726,0.013853258081067214
"bottled beer, rolls/buns, whole milk",tropical fruit,0.3288590604026846,1.4071269126780073,0.012570548999486916
"bottled beer, rolls/buns, whole milk",root vegetables,0.28187919463087246,1.222208120880023,0.0107747562852745
"bottled beer, rolls/buns, whole milk",bottled water,0.2751677852348993,1.287639888170033,0.01051821446895844
"bottled beer, rolls/buns, whole milk",sausage,0.3221476510067114,1.5638001788594782,0.012314007183170857
"frankfurter, rolls/buns, whole milk",other vegetables,0.525,1.3940395095367848,0.01616213442791175
"frankfurter, rolls/buns, whole milk",soda,0.425,1.3556873977086743,0.013083632632119035
"frankfurter, rolls/buns, whole milk",yogurt,0.35,1.2368993653671805,0.0107747562852745
"frankfurter, rolls/buns, whole milk",root vegetables,0.3416666666666667,1.4814423433444568,0.01051821446895844
"frankfurter, rolls/buns, whole milk",bottled water,0.325,1.520828331332533,0.010005130836326322
"margarine, curd",whole milk,0.5972222222222222,1.3034558915018042,0.011031298101590559
"bottled beer, yogurt, other vegetables",whole milk,0.6385542168674698,1.3936642426368406,0.013596716264751155
"frozen meals, rolls/buns, whole milk",other vegetables,0.639344262295082,1.6976593558761783,0.010005130836326322
"waffles, bottled water",whole milk,0.6338028169014085,1.383294165891204,0.011544381734222679
"waffles, bottled water",other vegetables,0.5633802816901409,1.4959511839428945,0.01026167265264238
"citrus fruit, bottled water, soda",whole milk,0.5131578947368421,1.1199829079978783,0.010005130836326322
"fruit/vegetable juice, soda, rolls/buns",whole milk,0.5633802816901409,1.2295948141255146,0.01026167265264238
"whipped/sour cream, soda, rolls/buns",whole milk,0.5730337078651685,1.2506637140304742,0.013083632632119035
"whipped/sour cream, soda, rolls/buns",other vegetables,0.5056179775280899,1.3425741664880753,0.011544381734222679
"white bread, sausage",whole milk,0.5681818181818182,1.2400743153822662,0.012827090815802977
"white bread, sausage",other vegetables,0.4772727272727273,1.2673086450334408,0.0107747562852745
"white bread, sausage",rolls/buns,0.5,1.42993396918562,0.011287839917906618
flour,whole milk,0.5422535211267606,1.183485008595808,0.019753719856336584
flour,other vegetables,0.44366197183098594,1.1780615573550295,0.01616213442791175
flour,rolls/buns,0.352112676056338,1.0069957529476197,0.012827090815802977
flour,soda,0.323943661971831,1.0333325649477882,0.011800923550538737
flour,yogurt,0.3873239436619718,1.368802114591447,0.014109799897383273
flour,tropical fruit,0.352112676056338,1.5066248202717953,0.012827090815802977
flour,bottled water,0.28169014084507044,1.318161067243799,0.01026167265264238
"cat food, whole milk",other vegetables,0.5684210526315789,1.5093360103255413,0.013853258081067214
"cat food, whole milk",rolls/buns,0.5052631578947369,1.4449859057033634,0.012314007183170857
"canned beer, pastry",whole milk,0.527027027027027,1.150252716322145,0.020010261672652643
"canned beer, pastry",other vegetables,0.4594594594594595,1.2200088371750497,0.017444843509492047
"canned beer, pastry",rolls/buns,0.42567567567567566,1.2173762170093791,0.01616213442791175
"canned beer, pastry",soda,0.33783783783783783,1.0776529393550671,0.012827090815802977
"canned beer, pastry",yogurt,0.27702702702702703,0.9790130111979614,0.01051821446895844
"canned beer, pastry",root vegetables,0.35135135135135137,1.5234344466825,0.013340174448435094
"canned beer, pastry",brown bread,0.2702702702702703,1.9877613462519124,0.01026167265264238
"frozen vegetables, shopping bags",whole milk,0.6410256410256411,1.3990582019697362,0.012827090815802977
